game_date,opponent,venue,inning_number,top_or_bottom,pitcher_name,pitcher_team,pitcher_lefty,batter_name,batter_team,batter_lefty,balls,strikes,outs_before,pitch_type_name,pitch_result,atbat_result,velo,pitch_locheight,pitch_locside,ball_in_play_direction,ball_in_play_distance,inplay_value,angle,atbat_result_id,autopitchtype,awayteam,ax_fts,ay_fts,az_fts,batter_team_id,batterside,bearing,carry_distance,carry_flight_time_s,contactpositionx,contactpositiony,contactpositionz,date,direction,exitspeed,external_id,game_key,gameuid,gorout_horizontal_location_intent,gorout_horizontal_location_result,gorout_score_horizontal,gorout_score_vertical,gorout_vertical_location_intent,gorout_vertical_location_result,hit_location,hitspinrate,hitter_external_id,hitter_internal_id,hittype,hometeam,inning,inning_pitch_number,inplay_value_id,korbb,lasttrackeddistance,league,level,man_on_first,man_on_second,man_on_third,outs,outsonplay,paofinning,performance_data_key,pfxx_in,pfxz_in,pitch_approach_h,pitch_approach_v,pitch_break_h_in,pitch_break_v_in,pitch_extension_ft,pitch_id,pitch_launch_h,pitch_launch_v,pitch_number,pitch_release_height_ft,pitch_release_side_ft,pitch_result_id,pitch_spin_axis,pitch_spin_rpm,pitch_spin_tilt,pitch_time_s,pitch_type,pitch_zone_speed_mph,pitchcall,pitcher_external_id,pitcher_internal_id,pitcher_team_id,pitcherset,pitcherthrows,pitchofpa,pitchuid,platelocheight,platelocside,playresult,positionatx,positionaty,positionatz,relspeed,runsscored,session_id,session_type,stadium,taggedpitchtype,time,timestamp,topbottom,tracking_type,vertbreak,vx_fts,vy_fts,vz,x0_ft,y,z0_ft
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Charlie Valencic,Moeller,False,0,1,0,Breaking Ball,Strike In Play,Fly Out,70,2.600,-0.200,-49.17,189.14,Pop up,,4,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,6,,,554994,,,,2,92,,,,,False,False,False,,,,ph_28070569,,,,,,,,28070569,,,2,,,50,,,,,30,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:30:49 PM,1747528249,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Will Schirmer,Moeller,False,0,0,1,Fast Ball,Ball,,87,0.400,1.100,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554989,,,,3,0,,,,,False,False,False,,,,ph_28070576,,,,,,,,28070576,,,1,,,1,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:31:22 PM,1747528282,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Will Schirmer,Moeller,False,1,0,1,Fast Ball,Strike Looking,,82,2.700,-0.100,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554989,,,,4,0,,,,,False,False,False,,,,ph_28070579,,,,,,,,28070579,,,2,,,20,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:31:34 PM,1747528294,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Will Schirmer,Moeller,False,1,1,1,Fast Ball,Strike In Play,1B,86,1.700,-0.100,-12.95,194.33,Ground Ball,,11,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,554989,,,,5,20,,,,,False,False,False,,,,ph_28070593,,,,,,,,28070593,,,3,,,50,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:31:45 PM,1747528305,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Luke Pappano,Moeller,True,0,0,1,Fast Ball,Strike Swing and Miss,,82,3.500,0.100,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,561318,,,,6,0,,,,,True,False,False,,,,ph_28070608,,,,,,,,28070608,,,1,,,30,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:32:39 PM,1747528359,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Luke Pappano,Moeller,True,0,1,1,Fast Ball,Strike Swing and Miss,,82,2.600,0.500,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,561318,,,,7,0,,,,,True,False,False,,,,ph_28070618,,,,,,,,28070618,,,2,,,30,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:33:08 PM,1747528388,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Luke Pappano,Moeller,True,0,2,1,Fast Ball,Strike Foul,,86,2.100,0.600,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,561318,,,,8,0,,,,,True,False,False,,,,ph_28070625,,,,,,,,28070625,,,3,,,40,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:33:30 PM,1747528410,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Luke Pappano,Moeller,True,0,2,1,Fast Ball,Strike Foul,,85,1.700,0.300,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,561318,,,,9,0,,,,,True,False,False,,,,ph_28070646,,,,,,,,28070646,,,4,,,40,,,,,1,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:34:16 PM,1747528456,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Luke Pappano,Moeller,True,0,2,1,Breaking Ball,Ball,,69,3.000,-1.500,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,561318,,,,10,0,,,,,True,False,False,,,,ph_28070661,,,,,,,,28070661,,,5,,,1,,,,,30,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:34:51 PM,1747528491,,Charted,,,,,,,
2025-05-17,Butler High School,Butler High School,7,Top,Jackson Schilling,Butler High School,False,Luke Pappano,Moeller,True,1,2,1,Change Up,Ball,,75,2.600,-1.400,0.00,0.00, -- ,,0,,,,,,58177,,,,,,,,5/17/25,,,,mg_492443,,,,,,,,0,,,561318,,,,11,0,,,,,True,False,False,,,,ph_28070669,,,,,,,,28070669,,,6,,,1,,,,,11,,,,661107,79198,,,,,,,,,,,,,mg_492443,game,,,8:35:15 PM,1747528515,,Charted,,,,,,,
